# CtApTVCntrl
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApTVCntrl\ContractHeader\Rte_CtApTVCntrl.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApTVCntrl_PpCAM_VCC_Supervision_DeVoltageDropDetectionStatus|Dt_ENUM_CAM_VCC_Status
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Brightness_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Brightness_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_CameraCleaning_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_CameraCleaning_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_CameraStates_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_CameraStates_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Color_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Color_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Contrast_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Contrast_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeBV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeBV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeFV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeFV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeRV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeRV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeSV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeSV_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultView_Status_BAP_RequestUInt8|Dt_UINT8_1_0
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_DefaultView_Status_BAP_RequestUInt8|void
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Display_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Display_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Display_StatusAck_BAP_RequestByteSequence|byteSequence4_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Display_StatusAck_BAP_RequestByteSequence|byteSequence4_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_DynamicParkingMode_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_DynamicParkingMode_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_ExtCamera_Config_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_ExtCamera_Config_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_ExtCamera_ManActivation_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_ExtCamera_ManActivation_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_FollowUp_Time_Status_BAP_RequestUInt8|Dt_UINT8_1_0
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_FollowUp_Time_Status_BAP_RequestUInt8|void
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Control_Status_BAP_RequestUInt8|Dt_UINT8_1_0
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Control_Status_BAP_RequestUInt8|void
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_OperationState_Status_BAP_RequestUInt8|Dt_UINT8_1_0
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_OperationState_Status_BAP_RequestUInt8|void
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Setup_Status_BAP_RequestByteSequence|byteSequence6_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Setup_Status_BAP_RequestByteSequence|byteSequence6_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Setup2_Status_BAP_RequestByteSequence|byteSequence6_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Setup2_Status_BAP_RequestByteSequence|byteSequence6_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Guidelines_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Guidelines_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Info_Status_BAP_RequestUInt8|Dt_UINT8_1_0
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Info_Status_BAP_RequestUInt8|void
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Messages_Status_BAP_RequestByteSequence|byteSequence3_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Messages_Status_BAP_RequestByteSequence|byteSequence3_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_OPS_Overlay_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_OPS_Overlay_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_RimProtection_Status_BAP_RequestByteSequence|byteSequence3_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_RimProtection_Status_BAP_RequestByteSequence|byteSequence3_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_Switch_2D_3D_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_Switch_2D_3D_Status_BAP_RequestByteSequence|byteSequence4_t
Rte_Call_CtApTVCntrl_BapRequestPropFSG_VPS_SystemState_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapRequestPropFSG_VPS_SystemState_Status_BAP_RequestByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtApTVCntrl_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtApTVCntrl_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtApTVCntrl_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtApTVCntrl_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtApTVCntrl_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtApTVCntrl_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtApTVCntrl_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 314
#####################################
#NON RTE WHITELIST
__d_dtof
cbrtf
Log_AddMsg
__d_dtoi
__d_dtos
strtoull
acosf
CdIoHwAbQM_Adc_Get_VCC_CAM_SENSE
strtol
__f_ftoi
CdIoHwAbQM_GetPwm_SW_LogoFront
__ll_div64
BDL_StartUpload
strtod
__f_ftod
CdIoHwAbQM_Adc_GetSWLogoRear_mV
IsDebugModeLevel2Active
pow
SetLogoPwmFront
fmodf
GetTVCamVoltageVCC
CdIoHwAbQM_SetPwm_SW_LogoRear
ceil
__d_sub
CdIoHwAbQM_Dio_WriteChannel_AURIX_CLEAN_FRONT
memcpy
_Sin
strstr
memmove
CdIoHwAbQM_Dio_Set_AURIXTVxDISABLE
__d_div
fmod
strcmp
strncmp
cosf
memset
strcat
logf
__INDIRECT__
GetTVCurrent_TV2
sincos
GetTVCurrent_TV1
GetTVCurrent_TV4
strchr
asin
GetLogoPwmFront
abs
sprintf
atan2f
_Log_AddMsg
CdIoHwAbQM_Dio_Get_AURIXTVxDISABLE
strcspn
CdIoHwAbQM_Adc_Get_TV2_ISENSE
__d_add
__d_uitod
sinf
__d_mul
log
cos
CdIoHwAbQM_Adc_Get_TV2_VCC_SENSE
IsDebugModeActive
__d_dtoui
CdIoHwAbQM_Adc_Get_TV4_VCC_SENSE
__d_dtous
strcpy
acos
CdIoHwAbQM_Adc_Get_TV1_VCC_SENSE
floorf
GetTVCurrent_TV3
CdIoHwAbQM_Adc_GetSWLogoFront_mV
ldexp
CdIoHwAbQM_Adc_Get_TV3_VCC_SENSE
sqrtf
strncpy
__d_fge
GetAURIXTVxDISABLE
__f_ulltof
BDL_FrameReceived
__d_fgt
memcmp
SetCleaningEnableRear
GetLogoVoltageFront
__d_itod
asinf
__ll_udiv64
GetLogoVoltageRear
CdIoHwAbQM_Adc_Get_TV3_ISENSE
__f_ftos
CdIoHwAbQM_Adc_Get_TV1_ISENSE
__ll_urem64
tanf
__d_ulltod
expf
SetLogoPwmRear
sscanf
__ll_ushr64
CdIoHwAbQM_Dio_Get_VDD_CAM_PG
CdIoHwAbQM_SetPwm_SW_LogoFront
strtoll
tan
strlen
GetTVCamPowerGood
atanf
floor
CdIoHwAbQM_Dio_WriteChannel_AURIX_CLEAN_REAR
sqrt
__d_feq
__f_ftouc
SetCleaningEnableFront
sin
ceilf
atan
strpbrk
strcasecmp
__f_ftous
BDL_ContinueUpload
GetTVVoltageVCC_TV4
sincosf
CdIoHwAbQM_Adc_Get_TV4_ISENSE
GetTVVoltageVCC_TV1
GetTVVoltageVCC_TV2
GetTVVoltageVCC_TV3
atan2
exp
SetAURIXTVxDISABLE
powf
#####################################
#NON RTE WHITELIST INIT
strncmp
SetLogoPwmRear
Log_AddMsg
CdIoHwAbQM_Adc_GetSWLogoFront_mV
memset
strcat
CdIoHwAbQM_Adc_Get_TV3_VCC_SENSE
GetTVCamVoltageVCC
CdIoHwAbQM_Adc_Get_TV2_VCC_SENSE
__INDIRECT__
CdIoHwAbQM_Dio_Get_VDD_CAM_PG
CdIoHwAbQM_SetPwm_SW_LogoFront
GetTVCurrent_TV3
GetTVCurrent_TV1
strlen
strncpy
strchr
GetAURIXTVxDISABLE
CdIoHwAbQM_GetPwm_SW_LogoFront
CdIoHwAbQM_SetPwm_SW_LogoRear
GetLogoPwmFront
CdIoHwAbQM_Dio_WriteChannel_AURIX_CLEAN_REAR
CdIoHwAbQM_Dio_Set_AURIXTVxDISABLE
strcasecmp
CdIoHwAbQM_Adc_GetSWLogoRear_mV
IsDebugModeLevel2Active
memcmp
SetLogoPwmFront
GetLogoVoltageFront
_Log_AddMsg
CdIoHwAbQM_Dio_Get_AURIXTVxDISABLE
strcspn
CdIoHwAbQM_Adc_Get_TV2_ISENSE
strpbrk
CdIoHwAbQM_Dio_WriteChannel_AURIX_CLEAN_FRONT
GetTVVoltageVCC_TV2
GetTVCurrent_TV4
CdIoHwAbQM_Adc_Get_TV1_ISENSE
GetTVCamPowerGood
memcpy
SetCleaningEnableRear
GetLogoVoltageRear
CdIoHwAbQM_Adc_Get_TV3_ISENSE
SetCleaningEnableFront
strstr
IsDebugModeActive
GetTVVoltageVCC_TV4
GetTVCurrent_TV2
CdIoHwAbQM_Adc_Get_TV4_ISENSE
GetTVVoltageVCC_TV1
CdIoHwAbQM_Adc_Get_TV4_VCC_SENSE
GetTVVoltageVCC_TV3
CdIoHwAbQM_Adc_Get_VCC_CAM_SENSE
strcpy
SetAURIXTVxDISABLE
strcmp
CdIoHwAbQM_Adc_Get_TV1_VCC_SENSE
